Year,Mo,Dy,Hr,Mn,Sec,EarthquakeMagnitude,Deposits,Country,Location Name,Latitude,Longitude,MaximumWaterHeight
2008,2,25,8,36,33,6.5,0,INDONESIA,SUMATRA,-2.486,99.972,0.12
2008,4,9,12,46,12.7,7.3,0,NEW CALEDONIA,LOYALTY ISLANDS,-20.071,168.892,0.16
2008,4,28,18,33,34.2,6.4,0,VANUATU,VANUATU ISLANDS,-19.941,168.953,0.03
2008,5,4,,,,,0,SOUTH KOREA,YELLOW SEA,,,1.3
2008,5,12,6,28,1.5,7.9,0,CHINA,SICHUAN PROVINCE,31.002,103.322,
2008,7,19,2,39,28.7,6.9,0,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2
2008,8,8,,,,,0,USA,KASATOCHI VOLCANO. ALEUTIAN IS. AK,52.18,-175.5,0.19
2008,8,20,23,0,0,,0,SOUTH AFRICA,SOUTHERN ATLANTIC OCEAN,-28.5,13.2,2.55
2008,9,11,0,20,50.9,6.8,0,JAPAN,HOKKAIDO ISLAND,41.892,143.754,0.09
2008,10,28,,,,,0,USA,MAINE,43.8,-69.7,3.6
2008,11,16,17,2,32.7,7.3,0,INDONESIA,SULAWESI,1.271,122.091,0.13
2008,11,23,,,,,0,CHINA,WU GORGE. WUSHAN COUNTY,31.065,109.92,13.1
2009,1,3,19,43,50.6,7.6,0,INDONESIA,NEAR NORTH COAST,-0.414,132.885,0.39
2009,1,3,22,33,40.2,7.3,0,INDONESIA,NEAR NORTH COAST,-0.691,133.305,
2009,1,15,17,49,39,7.4,0,RUSSIA,KAMCHATKA,46.857,155.154,0.11
2009,2,11,17,34,50.8,7.2,0,INDONESIA,CELEBES SEA,3.884,126.397,0.13
2009,3,19,18,17,40.9,7.6,0,TONGA,TONGA,-23.046,-174.659,0.15
2009,5,28,8,24,45,7.3,0,HONDURAS,OFF COAST OF HONDURAS,16.72,-86.236,4
2009,7,1,9,30,10.4,6.4,0,GREECE,CRETE,34.164,25.471,0.3
2009,7,15,9,22,29,7.8,1,NEW ZEALAND,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47
2009,8,10,19,55,35.6,7.5,0,INDIA,ANDAMAN ISLANDS,14.099,92.888,0.01
2009,8,10,20,7,9.1,6.4,0,JAPAN,HONSHU: S COAST,34.743,138.264,0.6
2009,8,16,7,38,21.7,6.7,0,INDONESIA,SUMATRA,-1.479,99.49,0.18
2009,8,25,,,,,0,USA,COLUMBIA RIVER VALLEY. WA,,,
2009,9,2,7,55,1,7,0,INDONESIA,JAVA SEA,-7.782,107.297,0.4
2009,9,29,17,48,10.9,8.1,8,SAMOA,SAMOA ISLANDS,-15.489,-172.095,22.35
2009,9,30,10,16,9.2,7.5,0,INDONESIA,SUMATRA,-0.72,99.867,0.27
2009,10,7,22,3,14.4,7.6,0,VANUATU,VANUATU ISLANDS,-13.006,166.51,0.29
2010,1,2,,,,,0,SOUTH KOREA,CHEJU (JEJU) STRAIT,,,
2010,1,3,21,48,5.3,6.6,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.743,157.477,0.01
2010,1,3,22,36,27.9,7.1,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,7.52
2010,1,5,12,15,32.2,6.8,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.019,157.551,0.03
2010,1,12,21,53,10,7,0,HAITI,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3.21
2010,2,26,20,31,26.9,7,0,JAPAN,RYUKYU ISLANDS,25.93,128.425,0.1
2010,2,27,6,34,11.5,8.8,4,CHILE,CENTRAL CHILE,-36.122,-72.898,29
2010,3,11,14,39,43.9,6.9,0,CHILE,CENTRAL CHILE,-34.29,-71.891,0.14
2010,4,6,22,15,1.5,7.8,0,INDONESIA,SUMATRA,2.383,97.048,0.44
2010,4,13,,,,,0,PERU,513 LAKE. HUALCAN GLACIER,-9.282,-77.645,23
2010,4,13,,,,,1,COOK ISLANDS,MANGAIA ISLAND. COOK ISLANDS,-21.955,-157.92,
2010,5,29,11,46,50,,0,USA TERRITORY,SOUTH OF SARIGAN IS. N. MARIANA IS,16.708,145.97,0.04
2010,6,12,19,26,50.4,7.5,0,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03
2010,8,10,5,23,44.9,7.2,0,VANUATU,VANUATU ISLANDS,-17.541,168.069,0.23
2010,8,13,21,19,33,6.9,0,USA TERRITORY,GUAM. MARIANA ISLANDS,12.484,141.476,0.07
2010,10,25,14,42,22,7.8,0,INDONESIA,SUMATRA,-3.487,100.082,16.9
2010,12,21,17,19,40.6,7.4,0,JAPAN,BONIN ISLANDS,26.901,143.698,0.13
2010,12,25,13,16,37,7.3,0,VANUATU,VANUATU ISLANDS,-19.702,167.947,4.1
2011,1,9,10,3,44.2,6.5,0,VANUATU,VANUATU ISLANDS,-19.157,168.311,0.03
2011,2,11,20,5,30.7,6.8,0,CHILE,CENTRAL CHILE,-36.474,-73.125,0.15
2011,2,21,23,51,42.3,6.1,0,NEW ZEALAND,SOUTH ISLAND,-43.583,172.68,3.5
2011,3,9,2,45,20.3,7.5,0,JAPAN,HONSHU ISLAND,38.435,142.842,0.6
2011,3,11,5,46,24.1,9.1,7,JAPAN,HONSHU ISLAND,38.297,142.372,39.26
2011,4,7,14,32,43.2,7.1,0,JAPAN,E. COAST HONSHU ISLAND,38.276,141.588,0.08
2011,5,10,8,55,9,6.8,0,NEW CALEDONIA,LOYALTY ISLANDS,-20.244,168.226,0.03
2011,6,24,3,9,39.4,7.3,0,USA,ATKA. ALEUTIAN ISLANDS. AK,52.05,-171.836,0.1
2011,6,27,,,,,0,UK,PLYMOUTH. ENGLAND,50.5,-3,0.4
2011,7,6,19,3,18.2,7.6,0,NEW ZEALAND,KERMADEC ISLANDS,-29.539,-176.34,1.2
2011,7,10,0,57,10.8,7,0,JAPAN,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09
2011,7,30,5,30,,,0,NORWAY,LYSEFJOREN. WESTERN NORWAY,59.05,6.64,1.5
2011,8,6,12,55,,,0,NORWAY,LYSEFJOREN. WESTERN NORWAY,59.05,6.64,
2011,8,20,16,55,2.5,7.1,0,VANUATU,VANUATU ISLANDS,-18.365,168.143,0.19
2011,8,20,18,19,23.5,7,0,VANUATU,VANUATU ISLANDS,-18.311,168.218,0.15
2011,9,2,10,55,53.5,6.8,0,USA,FOX ISLANDS. ALEUTIAN ISLANDS. AK,52.171,-171.708,0.06
2011,10,21,17,57,16.1,7.4,0,NEW ZEALAND,KERMADEC ISLANDS,-28.993,-176.238,0.14
2012,2,2,13,34,40.6,7,0,VANUATU,VANUATU ISLANDS,-17.827,167.133,0.08
2012,3,9,7,9,50.9,6.7,0,VANUATU,OFF EAST COAST OF VANUATU,-19.125,169.613,0.05
2012,3,14,9,8,35.1,6.9,0,JAPAN,HOKKAIDO ISLAND,40.887,144.944,0.2
2012,3,20,18,2,47.4,7.4,0,MEXICO,S. MEXICO,16.493,-98.231,0.2
2012,4,11,8,38,36.7,8.6,0,INDONESIA,OFF W. COAST OF N SUMATRA,2.327,93.063,1.08
2012,4,11,10,43,10.8,8.2,0,INDONESIA,OFF W. COAST OF N SUMATRA,0.802,92.463,
2012,4,14,22,5,26.4,6.3,0,VANUATU,VANUATU ISLANDS,-18.972,168.741,
2012,7,15,,,,,0,GREENLAND,ILULISSAT ICEFJORD. GREENLAND,69.2,-51.3,
2012,8,27,4,37,19.4,7.3,0,EL SALVADOR,EL SALVADOR-NICARAGUA,12.139,-88.59,6.3
2012,8,31,12,47,33.3,7.6,0,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15
2012,9,5,14,42,7.8,7.6,0,COSTA RICA,COSTA RICA,10.085,-85.315,0.16
2012,10,28,3,4,8.8,7.7,0,CANADA,BRITISH COLUMBIA,52.788,-132.101,12.98
2012,11,7,16,35,46.9,7.3,0,GUATEMALA,GUATEMALA,13.988,-91.895,0.35
2012,12,7,8,18,23.1,7.2,0,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1
2012,12,28,,,,,0,CHINA,ZHAOJUN BRIDGE. HUBEI PROVINCE,31.256,110.733,
2013,1,5,8,58,19.3,7.5,0,USA,SE. ALASKA. AK,55.393,-134.652,1.5
2013,2,6,1,12,25.8,7.9,0,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,11
2013,2,8,15,26,38.4,7,0,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.928,166.018,0.09
